Description,Barcode2,ULRIMAGEN
INA PASTA CODO 20X200 GR,753081004008,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/78_5166
INA PASTA CORBATON 20X150 GR,753081008006,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/75_5159
INA PASTA ESPAGUETTI 20X200 GR.,753081002004,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/76_5160
INA PASTA LENGUA LINGUINI 20X200 GR,753081002615,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/79_5168
KETCHUP BB BOLSA 1/16 OZ CJ 32,738777180457,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/105_5434
LA FINCA ACHIOTE MOLIDO 12/ 4 OZ CJ 6,810118991004,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/82_5217
LA FINCA CHILE PICANTE TIPO OLANCHO 1/ 16.9 OZ (480ML) CJ 12.,810118991219,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/114_5510
LA FINCA CONCHAS 1/10 OZ CJ 10,851356007607,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/121_5534
LA FINCA FRIJOL PILOY ROJO 12/ 24 OZ (680G),810118991554,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/70_3229
LA FINCA FRIJOL ROJO DE SEDA 12/ 32 OZ,810118991363,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/67_3225
LA FINCA FRIJOL ROJO DE SEDA 50 LBS,3228,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/69_3228
LA FINCA FRIJOL ROJO DE SEDA 6/ 64 OZ,810118991370,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/68_3226
LA FINCA FRIJOLES REFRITOS ROJOS 12/800 GMS,810118991080,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/112_5486
LA FINCA GUARACHA REDONDA 1/10 OZ CJ 10,851356007560,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/119_5530
LA FINCA HARINA DE CEBADA 12/ 12 OZ CJ 3,810118991820,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/86_5229
LA FINCA HARINA DE HABA CAJA 10 BAGS/1 LB,810118992612,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/88_5245
LA FINCA HARINA DE PINOLILLO 12/ 12 OZ CJ 3,810118991813,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/85_5228
LA FINCA HORCHATA DE ARROZ 12/ 12 OZ CJ 3,810118990977,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/83_5226
LA FINCA HORCHATA DE MORRO 12/12 OZ CJ 3,810118990960,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/87_5243
LA FINCA JASMINE RICE 15/2 LB,851356007553,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/64_3102
LA FINCA JASMINE RICE 6/5 LB,851356007546,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/63_3101
LA FINCA MARGARITA 1/12 OZ. CJ 12 UNDS,851356007096,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/94_5373
LA FINCA MARIAS BOX 12/ 560 GR,810118990199,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/91_5312
LA FINCA MOJO CRIOLLO 12/20.3 FL OZ (600 ML),810118990656,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/117_5515
LA FINCA MOJO CRIOLLO 4/ 3785 ML,810118990663,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/113_5508
LA FINCA NOPAL 12/ 32 OZ..,810118990168,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/60_2330
LA FINCA PACAYA 12/32 OZ,851356007225,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/59_2300
LA FINCA PANELA FRACCIONADA 12 CJ 32 OZ / 908 GRS,850026673852,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/125_6188
LA FINCA PIMIENTA Y COMINO 1 /8.1 OZ (230 GR JUMBO) CJ 12.,810118990687,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/118_5516
LA FINCA PIMIENTA Y COMINO MOLIDO 24/65GRS..,810118990670,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/93_5368
LA FINCA RELAJO ENTERO 12/ 4 OZ CJ 4,810118990984,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/81_5216
LA FINCA ROSQUETE 1/12 OZ. CJ 18 UNDS,851356007041,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/95_5374
LA FINCA ROSQUILLA MIXTA FAMILIAR 1/16 OZ. CJ 12 UNDS,851356007027,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/96_5376
LA FINCA SALSA DE SOYA 1/ 11.5 OZ (340 ML) CJ 12,810118990717,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/115_5512
LA FINCA SALSA GUACAMOLE 12/ 17.6OZ.,810118991615,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/61_2334
LA FINCA SALSA INGLESA 12/340 ML (11.02 OZ),810118990694,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/92_5364
LA FINCA SALSA ROJA TAQUERA 12/ 17.6OZ.,810118991608,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/62_2336
LA FINCA SALV SEMITA DE ARROZ 1/10 OZ CJ 10,851356007584,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/120_5532
LA FINCA SEMILLA DE MORRO 12/ 8 OZ CJ 3,810118990991,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/84_5227
LA FINCA TOSTACAS 1/12OZ. CJ 16 UNDS,851356007188,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/97_5381
LA FINCA TOSTADA HORNEADA CON AJONJOLI 12/8.84 OZ,851356007836,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/123_6121
LA FINCA TOSTADA HORNEADA CON CHIA Y NOPAL DESHIDRATADO 12/8.84 OZ,851356007843,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/124_6122
LA FINCA TOSTADA HORNEADA GUAJILLO 12/ 8.84 OZ.,810118990519,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/126_6231
LA FINCA TOSTADA HORNEADA NATURAL 12/8.84OZ,851356007829,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/122_6120
LF FRIJOL NEGRO 6/ 64 OZ,810118992513,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/65_3117
LF FRIJOL NEGRO16/ 24 OZ,810118992520,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/66_3118
LF LENGUITAS 1/6OZ CJ 10,810118992742,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/90_5280
LF SALSA AJO CON PEREJIL 1/ 11.1 OZ (330 ML) CJ 12,810118990700,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/116_5514
LF TUSTACAS 1/8 OZ CJ 9,810118992735,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/89_5279
MAYONESA BB 1/16 OZ. CJ 32 UNDS.,738777100035,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/103_5430
PICAMAS VERDE BOLSA 1/16 OZ. CJ 32 UND,738777180099,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/100_5413
REFRESHING FRUIT ALOE VERA COCONUT 12/ 1.5 LTS,8101189902290,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/39_1193
REFRESHING FRUIT ALOE VERA COCONUT 24/ 500 ML.,810118990267,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/43_1197
REFRESHING FRUIT ALOE VERA MANGO 12/ 1.5 LTS,810118990236,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/40_1194
REFRESHING FRUIT ALOE VERA MANGO 24/ 500 ML.,810118990274,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/44_1198
REFRESHING FRUIT ALOE VERA ORIGINAL 12/ 1.5 LTS,810118990243,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/41_1195
REFRESHING FRUIT ALOE VERA ORIGINAL 24/ 500 ML.,810118990281,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/45_1199
REFRESHING FRUIT ALOE VERA PINEAPPLE 12/ 1.5 LTS,810118990250,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/42_1196
REFRESHING FRUIT ALOE VERA PINEAPPLE 24/ 500 ML.,810118990298,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/46_1200
REFRESHING FRUIT ALOE VERA WATERMELON 24/ 500 ML.,810118992926,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/38_1192
REFRESHING FRUIT APPLE/CARROT JUICE 8/25.4 OZ,850026673180,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/50_1204
REFRESHING FRUIT BOTELLA COCONUTWATER / PULP 24/ 290 ML.,810118990182,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/36_1188
REFRESHING FRUIT BUBBLE MILK TEA MANGO 12/ 490 ML,810118992407,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/25_1150
REFRESHING FRUIT BUBBLE MILK TEA PEACH 12/ 490 ML,810118992414,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/24_1149
REFRESHING FRUIT BUBBLE MILK TEA STRAWBERRY 12/ 490 ML,810118992391,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/23_1148
REFRESHING FRUIT CHIA COCKTAIL DE FRUTAS 24/ 9.8 OZ,810118991141,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/17_1112
REFRESHING FRUIT CHIA KIWI 24/9.8OZ,810118991479,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/21_1116
REFRESHING FRUIT CHIA MANGO 24/9.8OZ,810118991509,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/22_1117
REFRESHING FRUIT CHIA PEACH 24/9.8OZ,810118991486,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/19_1114
REFRESHING FRUIT CHIA PINA 24/ 9.8 OZ,810118991158,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/18_1113
REFRESHING FRUIT CHIA STRAWBERRY 24/9.8OZ,810118991493,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/20_1115
REFRESHING FRUIT COCONUT WATER WITH PULP BOTTLE 12/ 485ML (16.4 OZ),810118991028,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/37_1190
REFRESHING FRUIT GREEN MULTIVITAMIN JUICE 8/25.4 OZ.,850026673203,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/51_1205
REFRESHING FRUIT KIDS BLUE BERRY 24 /320 ML.,810118991233,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/53_1210
REFRESHING FRUIT KIDS FRUIT PUNCH 24 /320 ML.,810118991257,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/54_1211
REFRESHING FRUIT KIDS RED GRAPE 24 /320 ML.,810118991240,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/55_1212
REFRESHING FRUIT LATA APPLE 24/ 500 ML.,810118990014,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/5_1097
REFRESHING FRUIT LATA DRAGON FRUIT 24/500ML,810118991448,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/13_1107
REFRESHING FRUIT LATA GUAYABA 24/500ML,810118991424,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/9_1102
REFRESHING FRUIT LATA LYCHEE 24/500ML,810118991462,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/14_1108
REFRESHING FRUIT LATA MANGO 24/500ML,810118991394,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/10_1103
REFRESHING FRUIT LATA MARACUYA 24/500ML,810118991400,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/11_1104
REFRESHING FRUIT LATA PAPAYA 24/500ML,810118991455,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/12_1106
REFRESHING FRUIT LATA PEACH 24/ 500 ML.,810118990045,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/8_1100
REFRESHING FRUIT LATA TAMARIND JUICE 24/450ML,810118992803,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/15_1109
REFRESHING FRUIT LATA TROPICAL PUNCH 24/ 500 ML.,810118990021,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/6_1098
REFRESHING FRUIT LATA ZAPOTE/MAMEY 24/ 500 ML.,810118990038,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/7_1099
REFRESHING FRUIT MANGO/CARROT JUICE 8/25.4 OZ,850026673173,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/47_1201
REFRESHING FRUIT NATA BANANA 12/ 490 ML.,81011991134,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/29_1171
REFRESHING FRUIT NATA GUANABANA 12/ 490 ML.,8101189911278,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/28_1170
REFRESHING FRUIT NATA MANGO 12/ 290 ML.,810118990403,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/32_1174
REFRESHING FRUIT NATA MANGO 12/ 490 ML.,810118990441,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/35_1178
REFRESHING FRUIT NATA ORIGINAL 12/ 290 ML.,810118990380,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/30_1172
REFRESHING FRUIT NATA ORIGINAL 12/ 490 ML.,810118990427,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/33_1176
REFRESHING FRUIT NATA PAPAYA 12/ 490 ML.,810118991110,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/27_1169
REFRESHING FRUIT NATA PINA 12/ 490 ML.,810118991103,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/26_1168
REFRESHING FRUIT NATA STRAWBERRY 12/ 290 ML.,810118990397,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/31_1173
REFRESHING FRUIT NATA STRAWBERRY 12/ 490 ML.,810118990434,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/34_1177
REFRESHING FRUIT ORANGE JUICE 24/450ML,810118992810,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/16_1110
REFRESHING FRUIT ORANGE/CARROT JUICE 8/25.4 OZ,850026673159,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/48_1202
REFRESHING FRUIT PEACH/CARROT JUICE 8/25.4 OZ.,850026673166,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/52_1206
REFRESHING FRUIT PINEAPPLE/CARROT JUICE 8/25.4 OZ,850026673197,https://insitusales.s3.us-east-1.amazonaws.com/web-app/data/12025/images/products/49_1203
